Исследование,Автор,Результаты,Год,"Длительность исследования, недели","Опыт, месяцев",Участников,Пол,Измерение,Мышца,Головка,Участок,Метод расчёта SMD,Initial relative mean diff VS Full relative mean diff p-value,Initial relative mean diff VS Full relative mean diff Cohen's d,Full участников,Initial участников,Relative Full mean diff,Relative Initial mean diff,Для Full mean diff SD,Для Initial mean diff SD,Full mean diff SD,Initial mean diff SD,Weighted SMD,Weighted SE,computed effect size,computed standard error,computed effect size type
1,Kassiano et al.,Отдельный для каждой мышцы,2022,8,0,26,Женщины,Толщина (УЗИ),Икроножная,Медиальная,,На основе p-значения,0.009,,14,12,0.066666667,0.151898734,,,,,,,1.082741596,0.4210780215,
1,Kassiano et al.,Отдельный для каждой мышцы,2022,8,0,26,Женщины,Толщина (УЗИ),Икроножная,Латеральная,,На основе p-значения,0.06,,14,12,0.072727273,0.149068323,,,,,,,0.7519987416,0.4069851905,
1,Kassiano et al.,Общий (сам посчитал),2022,8,0,26,Женщины,Толщина (УЗИ),Икроножная,Все,,На основе SMD,,,14,12,,,,,,,0.911742877,0.29263738,,,
2,Pedrosa et al.,Отдельный для каждой мышцы,2021,12,0,45,Женщины,Площадь (УЗИ),Квадрицепс,Прямая,40 %,На основе SD,,,9,9,0.10178,0.21447,0.16241,0.31123,0.06063,0.09676,,,1.329044073,0.5208528836,
2,Pedrosa et al.,Отдельный для каждой мышцы,2021,12,0,45,Женщины,Площадь (УЗИ),Квадрицепс,Латеральная,40 %,На основе SD,,,9,9,0.15507,0.12751,0.19916,0.17895,0.04409,0.05144,,,-0.5478233233,0.4801652029,
2,Pedrosa et al.,Отдельный для каждой мышцы,2021,12,0,45,Женщины,Площадь (УЗИ),Квадрицепс,Прямая,50 %,На основе SD,,,9,9,0.12895,0.27816,0.21737,0.43658,0.08842,0.15842,,,1.10756386,0.5062579959,
2,Pedrosa et al.,Отдельный для каждой мышцы,2021,12,0,45,Женщины,Площадь (УЗИ),Квадрицепс,Латеральная,50 %,На основе SD,,,9,9,0.13447,0.15842,0.23026,0.24009,0.09579,0.08167,,,0.2562225523,0.4733348004,
2,Pedrosa et al.,Отдельный для каждой мышцы,2021,12,0,45,Женщины,Площадь (УЗИ),Квадрицепс,Прямая,60 %,На основе SD,,,9,9,0.18361,0.23869,0.30417,0.42719,0.12056,0.1885,,,0.3315019084,0.4746312462,
2,Pedrosa et al.,Отдельный для каждой мышцы,2021,12,0,45,Женщины,Площадь (УЗИ),Квадрицепс,Латеральная,60 %,На основе SD,,,9,9,0.12118,0.14872,0.24603,0.23685,0.12485,0.08813,,,0.2426873428,0.4731366125,
2,Pedrosa et al.,Отдельный для каждой мышцы,2021,12,0,45,Женщины,Площадь (УЗИ),Квадрицепс,Прямая,70 %,На основе SD,,,9,9,0.1983,0.3158,0.44372,0.52695,0.24542,0.21115,,,0.488757299,0.4783909285,
2,Pedrosa et al.,Отдельный для каждой мышцы,2021,12,0,45,Женщины,Площадь (УЗИ),Квадрицепс,Латеральная,70 %,На основе SD,,,9,9,0.11567,0.19095,0.27969,0.38802,0.16402,0.19707,,,0.3953987681,0.4759884507,
2,Pedrosa et al.,Общий (сам посчитал),2021,12,0,45,Женщины,Площадь (УЗИ),Квадрицепс,Все,Все,На основе SMD,,,9,9,,,,,,,0.185583121,0.16732974,,,
3,Maeo et al.,Отдельный для каждой мышцы,2023,12,,34,,Объём (МРТ),Ягодица,Большая,,На основе d Коэна,0.038,0.9,18,16,0.024,0.061,,,,,,,0.8787120843,0.3597366828,
3,Maeo et al.,Отдельный для каждой мышцы,2023,12,,34,,Объём (МРТ),Задняя верхность бедра,Длинная головка бицепса бедра,,На основе d Коэна,0.014,1.04,18,16,0.042,0.094,,,,,,,1.015400631,0.3649902541,
3,Maeo et al.,Отдельный для каждой мышцы,2023,12,,34,,Объём (МРТ),Задняя верхность бедра,Полусухожильная,,На основе d Коэна,0.891,0.37,18,16,0.046,0.073,,,,,,,0.3612483013,0.3463736106,
3,Maeo et al.,Отдельный для каждой мышцы,2023,12,,34,,Объём (МРТ),Задняя верхность бедра,Полуперепончатая,,На основе d Коэна,0.109,0.75,18,16,0.039,0.072,,,,,,,0.7322600703,0.3548815583,
